auction_date,type,term,cusip,reopening,offering_amount
2007-03-28,Note,2-Year,912828GL8,No,18000000000
2007-03-29,Note,5-Year,912828GM6,No,13000000000
2007-04-25,Note,2-Year,912828GP9,No,18000000000
2007-04-26,Note,5-Year,912828GQ7,No,13000000000
2007-05-07,Note,3-Year,912828GR5,No,14000000000
2007-05-08,Note,10-Year,912828GS3,No,13000000000
2007-05-10,Bond,29-Year 9-Month,912810PT9,Yes,5000000000
2007-05-29,Note,2-Year,912828GT1,No,18000000000
2007-05-30,Note,5-Year,912828GU8,No,13000000000
2007-06-12,Note,9-Year 11-Month,912828GS3,Yes,8000000000
2007-06-26,Note,2-Year,912828GV6,No,18000000000
2007-06-27,Note,5-Year,912828GW4,No,13000000000
2007-07-25,Note,2-Year,912828GY0,No,18000000000
2007-07-26,Note,5-Year,912828GZ7,No,13000000000
2007-08-08,Note,10-Year,912828HA1,No,13000000000
2007-08-09,Bond,29-Year 9-Month,912810PU6,No,9000000000
2007-08-29,Note,2-Year,912828HB9,No,18000000000
2007-08-30,Note,5-Year,912828HC7,No,13000000000
2007-09-13,Note,9-Year 11-Month,912828HA1,Yes,8000000000
2007-09-26,Note,2-Year,912828HD5,No,18000000000
2007-09-27,Note,5-Year,912828HE3,No,13000000000
2007-10-24,Note,2-Year,912828HF0,No,20000000000
2007-10-25,Note,5-Year,912828HG8,No,13000000000
2007-11-07,Note,10-Year,912828HH6,No,13000000000
2007-11-08,Bond,29-Year 6-Month,912810PU6,Yes,5000000000
2007-11-28,Note,2-Year,912828HJ2,No,20000000000
2007-11-29,Note,5-Year,912828HK9,No,13000000000
2007-12-13,Note,9-Year 11-Month,912828HH6,Yes,8000000000
2007-12-26,Note,2-Year,912828HL7,No,22000000000
2007-12-27,Note,5-Year,912828HM5,No,13000000000
2008-01-28,Note,2-Year,912828HP8,No,24000000000
2008-01-29,Note,5-Year,912828HQ6,No,14000000000
2008-02-06,Note,10-Year,912828HR4,No,13000000000
2008-02-07,Bond,30-Year,912810PW2,No,9000000000
2008-02-27,Note,2-Year,912828HS2,No,26000000000
2008-02-28,Note,5-Year,912828HT0,No,16000000000
2008-03-13,Note,9-Year 11-Month,912828HR4,Yes,10000000000
2008-03-26,Note,2-Year,912828HU7,No,28000000000
2008-03-27,Note,5-Year,912828HV5,No,18000000000
2008-04-23,Note,2-Year,912828HX1,No,30000000000
2008-04-24,Note,5-Year,912828HY9,No,19000000000
2008-05-07,Note,10-Year,912828HZ6,No,15000000000
2008-05-08,Bond,29-Year 9-Month,912810PW2,Yes,6000000000
2008-05-28,Note,2-Year,912828JA9,No,30000000000
2008-05-29,Note,5-Year,912828JB7,No,19000000000
2008-06-12,Note,9-Year 11-Month,912828HZ6,Yes,11000000000
2008-06-24,Note,2-Year,912828JC5,No,30000000000
2008-06-26,Note,5-Year,912828JD3,No,20000000000
2008-07-23,Note,2-Year,912828JF8,No,31000000000
2008-07-24,Note,5-Year,912828JG6,No,21000000000
2008-08-06,Note,10-Year,912828JH4,No,17000000000
